referee,num_rounds,title_fight,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
John McCarthy,3,F,M,Submission,Armbar From Bottom Guard,2,2:44,UFC 71: Liddell vs Jackson,2007-05-26,Las Vegas,Nevada,USA,0.0,65.0,35.0,37.0,10.0,2.0,1.0,2.0,0.0,4:02
Mark Smith,3,F,M,Decision,Unanimous,3,5:00,UFC 256: Figueiredo vs. Moreno,2020-12-12,Las Vegas,Nevada,USA,0.0,49.0,26.0,42.0,19.0,0.0,0.0,0.0,0.0,0:05
Mike Beltran,5,F,M,Submission,Guillotine Choke After Drop to Half Guard,3,0:28,UFC Fight Night: Lee vs. Oliveira,2020-03-14,Brasilia,Distrito Federal,Brazil,0.0,100.0,61.0,80.0,41.0,3.0,2.0,0.0,1.0,6:30
Keith Peterson,3,F,M,Submission,Rear Naked Choke,1,1:15,UFC Fight Night: Lee vs. Iaquinta,2018-12-15,Milwaukee,Wisconsin,USA,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0:00
Dan Miragliotta,3,F,M,Submission,Kneebar On Ground,1,1:59,UFC 124: St-Pierre vs Koscheck 2,2010-12-11,Montreal,Quebec,Canada,0.0,11.0,6.0,6.0,1.0,1.0,1.0,2.0,0.0,1:31
Herb Dean,3,F,M,Submission,Guillotine Choke After Drop to Guard,1,2:18,UFC 225: Whittaker vs. Romero 2,2018-06-09,Chicago,Illinois,USA,0.0,25.0,9.0,25.0,9.0,1.0,0.0,0.0,0.0,0:00
Herb Dean,3,F,M,Submission,Triangle Armbar From Bottom Guard,1,0:41,UFC Live: Jones vs Matyushenko,2010-08-01,San Diego,California,USA,0.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0:27
Mario Yamasaki,3,F,M,KO/TKO,Punches to Head On Ground,1,3:01,UFC Live: Hardy vs Lytle,2011-08-14,Milwaukee,Wisconsin,USA,0.0,63.0,32.0,60.0,30.0,0.0,0.0,0.0,0.0,0:12
John McCarthy,3,F,M,Submission,Rear Naked Choke,1,2:30,UFC 210: Cormier vs. Johnson 2,2017-04-08,Buffalo,New York,USA,0.0,9.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0:00
Kerry Hatley,3,F,M,Submission,Rear Naked Choke,3,2:25,UFC Fight Night: Marquardt vs Palhares,2010-09-15,Austin,Texas,USA,0.0,89.0,26.0,76.0,13.0,1.0,0.0,0.0,0.0,2:47
